"exercicio","Funcao_cod","Funcao_desc","Acao_cod","Acao_desc","ModalidadeAplicacao_cod","ModalidadeAplicacao_desc","ResultadoPrimario_cod","ResultadoPrimario_desc","ploa","loa","loa_mais_credito","empenhado","liquidado","pago","Ano"
"2022","15","Urbanismo","00T1","Apoio à Política Nacional de Desenvolvimento Urbano Voltado à Implantação e Qualificação Viária","40","Transferências a Municípios","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,262752537,271771883,271771882,1646893,1646893,2022
"2022","18","Gestão Ambiental","1851","Aquisição de Equipamentos e/ou Implantação de Obras de Infraestrutura Hídrica de Pequeno e Médio Vulto","40","Transferências a Municípios","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2e+06,0,0,0,0,2022
"2022","10","Saúde","8933","Estruturação de Serviços de Atenção às Urgências e Emergências na Rede Assistencial","31","Transferências a Estados e ao Distrito Federal - Fundo a Fundo","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,0,1671289,1256628,0,0,2022
"2022","27","Desporto e Lazer","216T","Gestão, Manutenção e Aperfeiçoamento da Rede Nacional de Treinamento","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,5e+05,0,0,0,0,2022
"2022","07","Relações Exteriores","20X0","Cooperação Humanitária Internacional e Participação da Sociedade Civil","80","Transferências ao Exterior","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,250000,250000,253557,253557,253557,2022
"2022","12","Educação","219V","Apoio ao Funcionamento das Instituições Federais de Educação Superior","90","Aplicações Diretas","8","Primária discricionária, decorrente de emendas de comissão permanente do SF, da CD e de comissão mista permanente do CN, considerada no cálculo do RP",0,128910749,0,0,0,0,2022
"2022","18","Gestão Ambiental","21A8","Formulação e Implementação de Estratégias para Promover a Conservação, a Recuperação e o Uso Sustentável da Biodiversidade, da Vegetação Nativa e do Patrimônio Genético","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2e+05,2e+05,2e+05,0,0,2022
"2022","08","Assistência Social","20GG","Promoção da Inclusão Produtiva de Pessoas em Situação de Pobreza","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,3282738,0,0,0,0,2022
"2022","12","Educação","7XE1","Reconstrução e Modernização do Museu Nacional","50","Transferências a Instituições Privadas sem Fins Lucrativos","7","Primária discricionária, decorrente de emendas de bancada estadual, considerada no cálculo do RP",0,0,2630288,2630288,2630288,0,2022
"2022","20","Agricultura","8622","Promoção do Cooperativismo e Associativismo para o Desenvolvimento Agropecuário","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1550000,1730000,1730000,630000,630000,2022
"2022","05","Defesa Nacional","1211","Implementação de Infraestrutura Básica nos Municípios da Região do Calha Norte","90","Aplicações Diretas","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,0,58000,57982,40207,0,2022
"2022","14","Direitos da Cidadania","20I7","Promoção da Política Nacional de Justiça","99","A DEFINIR","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,2500000,0,0,0,0,2022
"2022","12","Educação","0E53","Aquisição de Veículos para o Transporte Escolar da Educação Básica - Caminho da Escola","40","Transferências a Municípios","8","Primária discricionária, decorrente de emendas de comissão permanente do SF, da CD e de comissão mista permanente do CN, considerada no cálculo do RP",0,5e+06,2843397,0,0,0,2022
"2022","10","Saúde","20YJ","Fortalecimento do Sistema Nacional de Vigilância em Saúde","50","Transferências a Instituições Privadas sem Fins Lucrativos","6","Primária discricionária, decorrente de emendas individuais, considerada no cálculo do RP",0,1284692,1071631,1071631,0,0,2022
